評価,レビュー
満足,プログラミング初心者ですがとてもわかりやすかったです。イラストが豊富で直感的に理解できました。
満足,それぞれの章が短くまとまっていたので、スキマ時間で読み進めることができた。絵も可愛い。
満足,プログラミングをやったことがない初心者に向けて、語り口調で丁寧に解説されている。各章の終わりにまとめがあるので、学んだことも記憶に残り易い気がした。文字だらけでなく、イラストなど絵が付いているので、読んでいて眠くなることもありません（笑）。猫が納得できるかはわかりませんが、私は納得できました。
満足,手元に本を開きながら実際にコードを入力しながら勉強しましたボリュームはそれほど多くないので２週間で読み終えることが出来ました
満足,以前に他のPythonの入門書を購入しましたが、途中で挫折してしまったので、この本でPython再入門。今度は無事に読了。内容はそれほど多くないので、ちょっと肩透かしな気もしますが、それはまた別の書籍で補うということで。最初の1冊としておすすめ。
満足,シンプルでわかりやすい
不満足,本当にプログラミングは初めての人という向けで簡単過ぎる。イラストばかりで内容が薄い。
満足,サンプルコードがネットにあがっているので、それをダウンロードして書き換えながら練習することもできます。
不満足,Python自体はなんとなく理解できたが、実用につながらない気がした。理解のしやすさを優先してのことだろうが、例題もシンプルなものばかりで飽きてくる。
不満足,ネットで手に入る情報以上のものはありませんでした
満足,全体的に冗長ではあるものの、ステップバイステップで無理なく進むため、最後まで読み通すことができました。
満足,知人に薦められて手に取りました。プログラミングのプの字もわからない本当の初心者でしたが、簡単なプログラミングなら動かせるようになりました！
不満足,入門向けといえばその通りですが、中身が薄すぎる
満足,図解がわかりやすく、直感的にプログラムの内容が理解できました。発展版として続編が出て欲しいです。
満足,機械学習にはPythonがおすすめときいて、入門からはじめることに。とりあえず概要はつかめたので機械学習にもチャレンジできるかな。
満足,良書
不満足,プログラミングそれ自体はわかるようになるのですが、これだけではアプリなどを作るまでには至りません。
満足,基礎を学ぶために購入。
満足,プログラミングへの苦手意識を克服するために読みました。プログラミングといえば、真っ黒な画面で呪文のように英語や数字を沢山タイピングするものだと思っていましたが、私達が使う言葉に似ているところもあるようですね。プロラミングを身近に感じられるようになりました。
満足,パイソンとは？プログラミングとは？という状態から、パイソンで簡単な集計が出来るレベルになります。
満足,pythonが直感的に理解できた
満足,ひとつひとつのプログラムとイラストがセットになっているので、初心者でも無理なくながれが理解できます
満足,初歩の初歩からきちんと親切に解説があり、また読み物としてもおもしろい。
不満足,ちょっとした簡単な処理に対してはプログラムが書けるようになるものの、あくまで用意された問題が解けるようになっただけで、どのように応用できるのかはわからないままだった。
満足,良い意味で広く浅くPythonに入門できる本です
満足,素人でもゼロから理解できました。
不満足,イラストを使って簡単に理解させようという狙いはわかるが、すこし説明がくどすぎる。もう少し発展的な内容まで扱って欲しかった。
満足,独学でもプログラミングができるようになると実感。
満足,この手の専門書はいつも途中で挫折して積ん読になるものの、面白くて意欲が削がれず、気が付けば読み終わっていた。
満足,毎日寝る前に30分を使って、2週間ちょっとで読み終えました。問題はどれも基本的で簡単なものが大半ですが、これをきっかけにプログラムをもっと勉強して行けそうな気がします。
